page_num,position,link,title,source,date,snippet,thumbnail
1,1,https://www.al.com/news/2022/05/alabama-church-apologizes-for-freak-show-comments-by-gop-gubernatorial-candidate-tim-james.html,Alabama church apologizes for ‘freak show’ comments by GOP gubernatorial candidate Tim James,AL.com,2 hours ago,"Life Chapel, a church in Rainsville in DeKalb County, posted on Facebook it 
had removed a video of James' appearance at the church “because...",https://serpapi.com/searches/627ab55ceb31ebcd4c4bf518/images/e6448b529fab873c432300688ad5e41efa40d7ca2a19eb6734bd10b5aaf17b44.jpeg
1,2,https://www.bloomberg.com/news/articles/2022-05-10/lufthansa-apologizes-for-blocking-orthodox-jews-from-flight,Lufthansa Apologizes for Blocking Orthodox Jews From Flight,Bloomberg.com,2 hours ago,"Deutsche Lufthansa AG has apologized to a group of around 100 orthodox Jews 
who were prevented from boarding a connecting flight to Budapest...",https://serpapi.com/searches/627ab55ceb31ebcd4c4bf518/images/e6448b529fab873ca1b1cc4b0da6770bdf73401f9cc8ad631e955052e5c077e4.jpeg
1,3,https://www.timesofisrael.com/church-of-england-apologizes-to-jews-800-years-after-laws-that-led-to-expulsion/,"After 800 years, Church of England apologizes to Jews for laws that led to expulsion",The Times of Israel,2 days ago,"Special service, attended by UK chief rabbi, marks anniversary of Synod of 
Oxford, aims to inspire Christians to reject contemporary...",https://serpapi.com/searches/627ab55ceb31ebcd4c4bf518/images/e6448b529fab873c2b81387b95bcc43ed3de1e7d8e44703d57ed9dbf00edd102.jpeg
1,4,https://www.etonline.com/rhobhs-sutton-stracke-apologizes-for-insensitive-reaction-to-dorit-kemsleys-home-invasion-exclusive,'RHOBH's Sutton Stracke Apologizes for 'Insensitive' Reaction to Dorit Kemsley's Home Invasion (Exclusive),Entertainment Tonight,1 hour ago,"'The Real Housewives of Beverly Hills' star Sutton Stracke reacts to a 
cringeworthy scene from the season 12 premiere.",https://serpapi.com/searches/627ab55ceb31ebcd4c4bf518/images/e6448b529fab873cbac2ad14d1675726530fbcdebb8a3bc8378f5fabd0555483.jpeg
1,5,https://www.nydailynews.com/news/national/ny-wordle-fetus-abortion-roe-wade-20220509-oiou3elckjbg3ihaty72ssoqem-story.html,New York Times apologizes for Wordle result with 'unintentional' timeliness (SPOILERS),NY Daily News,1 day ago,"Wordle isn't intentionally trying to get in on current events. Monday's 
result for the addictive word scramble game came with a reminder...",https://serpapi.com/searches/627ab55ceb31ebcd4c4bf518/images/e6448b529fab873cda04132aa49d8a0d402957fcabdcac7b5d3ef07d77903bf7.jpeg
1,6,https://www.ctvnews.ca/politics/lapse-in-judgment-liberal-mp-apologizes-for-joining-hybrid-house-proceedings-from-washroom-stall-1.5895140,Liberal MP accused of joining virtual Parliament from a washroom,CTV News,1 day ago,"Liberal MP Shafqat Ali has apologized after being called out by the 
Conservatives for participating in House of Commons proceedings...",https://serpapi.com/searches/627ab55ceb31ebcd4c4bf518/images/e6448b529fab873caee1b02fe795128bf4b13e11fd807893a0c9f62133a5b2d2.jpeg
1,7,https://www.jpost.com/diaspora/antisemitism/article-706143,Church of England apologizes for 800-year-old antisemitic laws,The Jerusalem Post,2 days ago,"Antisemitic laws issued by the Synod of Oxford eventually led to the 
expulsion of Jews from England in 1290.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmBIzT2RItyU4jEuzCMsoa817ZzAEgAv17fNgxAkujEWlVSixlJPkxI3M&usqp=CAI&s
1,8,https://nypost.com/2022/05/09/rose-namajunas-apologizes-for-awful-fight-i-f-ked-up/,Rose Namajunas apologizes for lackluster UFC title fight: 'I f--ked up',New York Post,1 day ago,"Rose Namajunas apologized to UFC fans for her lackluster performance 
against Carla Esparza Saturday at UFC 274.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlHVhptzTGWmu2ykW4kPXK-Xle3r89EgqUVXSOfWwxkxj_5wMmxzxfI5c&usqp=CAI&s
1,9,https://www.usmagazine.com/celebrity-news/news/rhonjs-teresa-giudice-apologizes-to-joe-gorga-after-reunion-fight/,RHONJ’s Teresa Giudice Apologizes to Brother Joe Gorga After Reunion Fight: ‘I Lost Myself’,Us Weekly,3 days ago,"Joe Gorga stormed off the 'RHONJ' season 12 reunion set after his sister, 
Teresa Giudice, addressed their relationship drama — read more.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtJzfzTjZrQLQNmJho_un2MhKYHQDOjVIFftINfaMTUC9IKMxby3mERoU&usqp=CAI&s
1,10,https://www.cbs42.com/alabama-news/alabama-church-apologizes-for-tim-james-freak-show-comment-says-message-didnt-reflect-heart-of-god/,"Alabama church apologizes for Tim James’ ‘freak show’ comment, says message didn’t reflect ‘heart of God’",CBS 42,21 hours ago,"BIRMINGHAM, Ala. (WIAT) – A church in northeast Alabama is apologizing 
after Tim James, a Republican candidate for Alabama governor,...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpSaXQqTLyS8CmPcIktqa_RSY6vRaH0JmvfHxToD-wViJjxPbw1XMwBDs&usqp=CAI&s
